      spec     ebeam        ep    thetac        xb        q2        w2      xsec      perr      stat      gerr   density       cer     model       kin       csb       acc       rad      live      pion
   0.00000  10.60200   5.92265  21.03500   0.93307   8.33730   1.32407   2.11869   0.02596   0.02570   0.00711   0.01130   0.00100   0.00653   0.00338   0.00002   0.00300   0.00662   0.00061   0.00140
   0.00000  10.60200   5.87707  21.03500   0.91699   8.27314   1.47376   0.97652   0.01919   0.01874   0.01367   0.01130   0.00100   0.00216   0.00245   0.00002   0.00300   0.00580   0.00061   0.00140
   0.00000  10.60200   5.83149  21.03500   0.90121   8.20897   1.62346   0.98338   0.01592   0.01542   0.01313   0.01130   0.00100   0.00558   0.00178   0.00002   0.00300   0.00538   0.00061   0.00140
   0.00000  10.60200   5.78591  21.03500   0.88573   8.14481   1.77317   0.90556   0.01413   0.01353   0.01488   0.01130   0.00100   0.00862   0.00147   0.00002   0.00300   0.00518   0.00061   0.00140
   0.00000  10.60200   5.74032  21.03500   0.87053   8.08064   1.92287   0.86409   0.01283   0.01212   0.01480   0.01130   0.00100   0.00877   0.00309   0.00002   0.00300   0.00509   0.00061   0.00140
   0.00000  10.60200   5.69474  21.03500   0.85561   8.01647   2.07259   0.80497   0.01160   0.01080   0.01017   0.01130   0.00100   0.00374   0.00170   0.00002   0.00300   0.00505   0.00061   0.00140
   0.00000  10.60200   5.64915  21.03500   0.84097   7.95229   2.22231   0.60600   0.01036   0.00945   0.01563   0.01130   0.00100   0.00194   0.00122   0.00002   0.00300   0.00503   0.00061   0.00140
   0.00000  10.60200   5.60356  21.03500   0.82659   7.88812   2.37203   0.72501   0.01007   0.00914   0.01591   0.01130   0.00100   0.00273   0.00239   0.00002   0.00300   0.00502   0.00061   0.00140
   0.00000  10.60200   5.55797  21.03500   0.81246   7.82394   2.52176   0.86384   0.01033   0.00936   0.01369   0.01130   0.00100   0.00655   0.00221   0.00002   0.00300   0.00502   0.00061   0.00140
   0.00000  10.60200   5.51238  21.03500   0.79859   7.75976   2.67149   0.81051   0.01003   0.00900   0.01218   0.01130   0.00100   0.00771   0.00181   0.00002   0.00300   0.00501   0.00061   0.00140
