3204	36263	1.70043	22557.6	77.613
3205	51218	1.79364	30155	67.582
3206	50925	1.2513	42892.2	76.214
3207	69198	1.29577	56251.3	67.656
3210	31724	1.54277	21573.1	10.001
3211	34807	1.49783	24421.2	19.536
3212	10448	1.4532	7571.52	33.873
3213	33823	1.42581	24888.4	34.628
3214	34935	1.39192	26427.3	42.819
3215	37704	1.33658	29673.2	52.138
3217	35054	1.92401	19168.4	51.277
3218	39814	2.03399	20593.8	41.212
3219	39615	2.11257	19737.9	33.683
3220	34188	2.29062	15674.1	19.806
3221	32225	2.4203	13990.8	10.234
3223	19069	0.663584	30146.3	52.654
3224	21278	0.667951	33450.2	49.122
3225	38828	0.686543	59433.9	34.004
3226	13002	0.475146	28759.7	38.455
3206	64352	1.58034	42892.2	76.214
