10.602 1.80775242e+01 16.000 4.35428410e+02  3.84381745e-01
10.602 1.80505447e+01 16.000 4.33081730e+02  3.87771068e-01
10.602 1.80235652e+01 16.000 4.30767180e+02  3.91156519e-01
10.602 1.79965857e+01 16.000 4.28484160e+02  3.94399994e-01
10.602 1.79696062e+01 16.000 4.26232030e+02  3.97682076e-01
10.602 1.79426267e+01 16.000 4.24010280e+02  4.00899771e-01
10.602 1.79156472e+01 16.000 4.21818300e+02  4.04043807e-01
10.602 1.78886677e+01 16.000 4.19655460e+02  4.07158148e-01
10.602 1.78616882e+01 16.000 4.17521330e+02  4.10262031e-01
10.602 1.78347087e+01 16.000 4.15415280e+02  4.13311483e-01
10.602 1.78077293e+01 16.000 4.13336850e+02  4.16337561e-01
10.602 1.77807498e+01 16.000 4.11285550e+02  4.19321242e-01
10.602 1.77537703e+01 16.000 4.09260770e+02  4.22267374e-01
10.602 1.77267908e+01 16.000 4.07262120e+02  4.25226241e-01
10.602 1.76998113e+01 16.000 4.05289090e+02  4.28140489e-01
10.602 1.76728318e+01 16.000 4.03341220e+02  4.31035598e-01
10.602 1.76458523e+01 16.000 4.01418090e+02  4.33921895e-01
10.602 1.76188728e+01 16.000 3.99519170e+02  4.36838783e-01
10.602 1.75918933e+01 16.000 3.97644100e+02  4.39654207e-01
10.602 1.75649138e+01 16.000 3.95792420e+02  4.42442356e-01
10.602 1.75379343e+01 16.000 3.93963750e+02  4.45232132e-01
10.602 1.75109548e+01 16.000 3.92157590e+02  4.48009445e-01
10.602 1.74839753e+01 16.000 3.90373660e+02  4.50788351e-01
10.602 1.74569958e+01 16.000 3.88611570e+02  4.53525897e-01
10.602 1.74300163e+01 16.000 3.86870850e+02  4.56261994e-01
10.602 1.74030368e+01 16.000 3.85151150e+02  4.58987386e-01
10.602 1.73760573e+01 16.000 3.83452150e+02  4.61682272e-01
10.602 1.73490778e+01 16.000 3.81773470e+02  4.64379581e-01
10.602 1.73220983e+01 16.000 3.80114780e+02  4.67041967e-01
10.602 1.72951188e+01 16.000 3.78475680e+02  4.69716470e-01
10.602 1.72681393e+01 16.000 3.76855900e+02  4.72352164e-01
10.602 1.72411598e+01 16.000 3.75255100e+02  4.74981684e-01
10.602 1.72141803e+01 16.000 3.73672880e+02  4.77611881e-01
10.602 1.71872008e+01 16.000 3.72109070e+02  4.80208355e-01
