      spec     ebeam        ep    thetac        xb        q2        w2      xsec      perr      stat      gerr   density       cer       kin       csb       acc       rad      live      pion
   0.00000  10.60200   4.28329  21.03500   0.50851   6.02958   6.70811   0.76684   0.00876   0.00695   0.01227   0.01100   0.00100   0.00060   0.00012   0.00026   0.00500   0.00046   0.00140
   0.00000  10.60200   4.32808  21.03500   0.51750   6.09262   6.56103   0.76779   0.00889   0.00710   0.01227   0.01100   0.00100   0.00061   0.00011   0.00026   0.00500   0.00046   0.00140
   0.00000  10.60200   4.37286  21.03500   0.52661   6.15566   6.41396   0.76431   0.00899   0.00722   0.01227   0.01100   0.00100   0.00062   0.00010   0.00027   0.00500   0.00046   0.00140
   0.00000  10.60200   4.41764  21.03500   0.53585   6.21870   6.26689   0.75496   0.00906   0.00733   0.01227   0.01100   0.00100   0.00057   0.00009   0.00028   0.00500   0.00046   0.00140
   0.00000  10.60200   4.46241  21.03500   0.54523   6.28173   6.11983   0.75997   0.00918   0.00748   0.01227   0.01100   0.00100   0.00052   0.00008   0.00029   0.00500   0.00046   0.00140
   0.00000  10.60200   4.50719  21.03500   0.55475   6.34476   5.97277   0.75910   0.00936   0.00769   0.01227   0.01100   0.00100   0.00051   0.00007   0.00030   0.00500   0.00046   0.00140
   0.00000  10.60200   4.55197  21.03500   0.56441   6.40779   5.82572   0.74742   0.00949   0.00784   0.01227   0.01100   0.00100   0.00056   0.00006   0.00031   0.00500   0.00046   0.00140
   0.00000  10.60200   4.59674  21.03500   0.57421   6.47082   5.67867   0.75150   0.00963   0.00802   0.01227   0.01100   0.00100   0.00057   0.00006   0.00032   0.00500   0.00046   0.00140
   0.00000  10.60200   4.64151  21.03500   0.58415   6.53385   5.53163   0.73921   0.00980   0.00822   0.01227   0.01100   0.00100   0.00054   0.00005   0.00033   0.00500   0.00046   0.00140
   0.00000  10.60200   4.68628  21.03500   0.59425   6.59687   5.38459   0.73988   0.00998   0.00844   0.01227   0.01100   0.00100   0.00054   0.00004   0.00035   0.00500   0.00046   0.00140
   0.00000  10.60200   4.73105  21.03500   0.60451   6.65989   5.23755   0.73354   0.01024   0.00873   0.01227   0.01100   0.00100   0.00052   0.00004   0.00036   0.00500   0.00046   0.00140
   0.00000  10.60200   4.77582  21.03500   0.61491   6.72292   5.09052   0.73871   0.01050   0.00900   0.01227   0.01100   0.00100   0.00053   0.00004   0.00038   0.00500   0.00046   0.00140
   0.00000  10.60200   4.82059  21.03500   0.62548   6.78593   4.94350   0.72696   0.01065   0.00920   0.01227   0.01100   0.00100   0.00053   0.00003   0.00039   0.00500   0.00046   0.00140
   0.00000  10.60200   4.86535  21.03500   0.63622   6.84895   4.79648   0.73210   0.01099   0.00957   0.01227   0.01100   0.00100   0.00045   0.00003   0.00041   0.00500   0.00046   0.00140
   0.00000  10.60200   4.79405  21.03500   0.61920   6.74858   5.03065   0.72715   0.00840   0.00589   0.01227   0.01100   0.00100   0.00049   0.00004   0.00038   0.00500   0.00028   0.00140
   0.00000  10.60200   4.84470  21.03500   0.63124   6.81987   4.86432   0.73138   0.00850   0.00606   0.01227   0.01100   0.00100   0.00051   0.00003   0.00040   0.00500   0.00028   0.00140
   0.00000  10.60200   4.89534  21.03500   0.64350   6.89116   4.69800   0.72750   0.00865   0.00624   0.01227   0.01100   0.00100   0.00047   0.00003   0.00042   0.00500   0.00028   0.00140
   0.00000  10.60200   4.94598  21.03500   0.65598   6.96244   4.53169   0.72721   0.00884   0.00647   0.01227   0.01100   0.00100   0.00042   0.00003   0.00045   0.00500   0.00028   0.00140
   0.00000  10.60200   4.99662  21.03500   0.66868   7.03373   4.36538   0.72877   0.00899   0.00668   0.01227   0.01100   0.00100   0.00037   0.00002   0.00047   0.00500   0.00028   0.00140
   0.00000  10.60200   5.04725  21.03500   0.68162   7.10501   4.19908   0.71830   0.00917   0.00694   0.01227   0.01100   0.00100   0.00038   0.00002   0.00050   0.00500   0.00028   0.00140
   0.00000  10.60200   5.09789  21.03500   0.69479   7.17629   4.03278   0.72445   0.00940   0.00722   0.01227   0.01100   0.00100   0.00034   0.00002   0.00053   0.00500   0.00028   0.00140
   0.00000  10.60200   5.14852  21.03500   0.70821   7.24756   3.86649   0.71186   0.00968   0.00755   0.01227   0.01100   0.00100   0.00023   0.00002   0.00057   0.00500   0.00028   0.00140
   0.00000  10.60200   5.19915  21.03500   0.72187   7.31883   3.70021   0.71909   0.00998   0.00791   0.01227   0.01100   0.00100   0.00018   0.00002   0.00061   0.00500   0.00028   0.00140
   0.00000  10.60200   5.24978  21.03500   0.73580   7.39010   3.53393   0.72668   0.01024   0.00823   0.01227   0.01100   0.00100   0.00014   0.00002   0.00066   0.00500   0.00028   0.00140
   0.00000  10.60200   5.30041  21.03500   0.74999   7.46137   3.36766   0.73066   0.01069   0.00873   0.01227   0.01100   0.00100   0.00008   0.00001   0.00071   0.00500   0.00028   0.00140
   0.00000  10.60200   5.35103  21.03500   0.76445   7.53264   3.20139   0.74832   0.01109   0.00920   0.01228   0.01100   0.00100   0.00014   0.00001   0.00078   0.00501   0.00028   0.00140
   0.00000  10.60200   5.40166  21.03500   0.77919   7.60390   3.03513   0.71208   0.01163   0.00979   0.01229   0.01100   0.00100   0.00024   0.00001   0.00085   0.00501   0.00028   0.00140
   0.00000  10.60200   5.45228  21.03500   0.79423   7.67516   2.86888   0.61553   0.01210   0.01032   0.01230   0.01100   0.00100   0.00038   0.00001   0.00094   0.00501   0.00028   0.00140
   0.00000  10.60200   5.50290  21.03500   0.80956   7.74642   2.70263   0.75477   0.01271   0.01101   0.01231   0.01100   0.00100   0.00050   0.00001   0.00105   0.00501   0.00028   0.00140
   0.00000  10.60200   5.39647  21.03500   0.77767   7.59660   3.05215   0.72940   0.00780   0.00584   0.01227   0.01100   0.00100   0.00021   0.00001   0.00084   0.00501   0.00061   0.00140
   0.00000  10.60200   5.45347  21.03500   0.79458   7.67683   2.86497   0.61476   0.00796   0.00612   0.01228   0.01100   0.00100   0.00038   0.00001   0.00094   0.00501   0.00061   0.00140
