 ***Ebeam    Eprime  Theta     x        Q2      Sig_Born     Sig_Born_In  Sig_Born_QE  Sig_Rad      Sig_Rad_EL   Sig_Rad_QE   Sig_Rad_DIS  C_cor
   10.6020   2.5000  16.0000   0.1351   2.0535  0.10707E+02  0.10707E+02  0.00000E+00  0.15339E+02  0.16242E+01  0.00000E+00  0.13715E+02  0.10000E+01
   10.6020   2.5100  16.0000   0.1358   2.0617  0.10688E+02  0.10688E+02  0.00000E+00  0.15270E+02  0.15988E+01  0.00000E+00  0.13672E+02  0.10000E+01
   10.6020   2.5200  16.0000   0.1365   2.0699  0.10669E+02  0.10669E+02  0.00000E+00  0.15202E+02  0.15738E+01  0.00000E+00  0.13629E+02  0.10000E+01
   10.6020   2.5300  16.0000   0.1372   2.0782  0.10650E+02  0.10650E+02  0.00000E+00  0.15135E+02  0.15492E+01  0.00000E+00  0.13586E+02  0.10000E+01
   10.6020   2.5400  16.0000   0.1379   2.0864  0.10632E+02  0.10632E+02  0.00000E+00  0.15069E+02  0.15251E+01  0.00000E+00  0.13544E+02  0.10000E+01
   10.6020   2.5500  16.0000   0.1386   2.0946  0.10613E+02  0.10613E+02  0.00000E+00  0.15003E+02  0.15013E+01  0.00000E+00  0.13501E+02  0.10000E+01
   10.6020   2.5600  16.0000   0.1393   2.1028  0.10595E+02  0.10595E+02  0.00000E+00  0.14937E+02  0.14780E+01  0.00000E+00  0.13459E+02  0.10000E+01
   10.6020   2.5700  16.0000   0.1401   2.1110  0.10576E+02  0.10576E+02  0.00000E+00  0.14873E+02  0.14550E+01  0.00000E+00  0.13418E+02  0.10000E+01
   10.6020   2.5800  16.0000   0.1408   2.1192  0.10558E+02  0.10558E+02  0.00000E+00  0.14809E+02  0.14325E+01  0.00000E+00  0.13377E+02  0.10000E+01
   10.6020   2.5900  16.0000   0.1415   2.1274  0.10540E+02  0.10540E+02  0.00000E+00  0.14746E+02  0.14103E+01  0.00000E+00  0.13335E+02  0.10000E+01
   10.6020   2.6000  16.0000   0.1422   2.1357  0.10522E+02  0.10522E+02  0.00000E+00  0.14683E+02  0.13885E+01  0.00000E+00  0.13295E+02  0.10000E+01
   10.6020   2.6100  16.0000   0.1429   2.1439  0.10504E+02  0.10504E+02  0.00000E+00  0.14621E+02  0.13671E+01  0.00000E+00  0.13254E+02  0.10000E+01
   10.6020   2.6200  16.0000   0.1437   2.1521  0.10487E+02  0.10487E+02  0.00000E+00  0.14545E+02  0.13461E+01  0.00000E+00  0.13199E+02  0.10000E+01
   10.6020   2.6300  16.0000   0.1444   2.1603  0.10469E+02  0.10469E+02  0.00000E+00  0.14484E+02  0.13253E+01  0.00000E+00  0.13159E+02  0.10000E+01
   10.6020   2.6400  16.0000   0.1451   2.1685  0.10451E+02  0.10451E+02  0.00000E+00  0.14425E+02  0.13050E+01  0.00000E+00  0.13120E+02  0.10000E+01
   10.6020   2.6500  16.0000   0.1459   2.1767  0.10434E+02  0.10434E+02  0.00000E+00  0.14379E+02  0.12850E+01  0.00000E+00  0.13094E+02  0.10000E+01
   10.6020   2.6600  16.0000   0.1466   2.1849  0.10416E+02  0.10416E+02  0.00000E+00  0.14320E+02  0.12653E+01  0.00000E+00  0.13055E+02  0.10000E+01
   10.6020   2.6700  16.0000   0.1473   2.1932  0.10399E+02  0.10399E+02  0.00000E+00  0.14262E+02  0.12459E+01  0.00000E+00  0.13016E+02  0.10000E+01
   10.6020   2.6800  16.0000   0.1481   2.2014  0.10382E+02  0.10382E+02  0.00000E+00  0.14204E+02  0.12269E+01  0.00000E+00  0.12977E+02  0.10000E+01
   10.6020   2.6900  16.0000   0.1488   2.2096  0.10365E+02  0.10365E+02  0.00000E+00  0.14147E+02  0.12082E+01  0.00000E+00  0.12938E+02  0.10000E+01
   10.6020   2.7000  16.0000   0.1496   2.2178  0.10348E+02  0.10348E+02  0.00000E+00  0.14090E+02  0.11898E+01  0.00000E+00  0.12900E+02  0.10000E+01
   10.6020   2.7100  16.0000   0.1503   2.2260  0.10331E+02  0.10331E+02  0.00000E+00  0.14034E+02  0.11717E+01  0.00000E+00  0.12862E+02  0.10000E+01
   10.6020   2.7200  16.0000   0.1511   2.2342  0.10314E+02  0.10314E+02  0.00000E+00  0.13978E+02  0.11539E+01  0.00000E+00  0.12824E+02  0.10000E+01
   10.6020   2.7300  16.0000   0.1518   2.2424  0.10297E+02  0.10297E+02  0.00000E+00  0.13923E+02  0.11364E+01  0.00000E+00  0.12786E+02  0.10000E+01
   10.6020   2.7400  16.0000   0.1526   2.2507  0.10281E+02  0.10281E+02  0.00000E+00  0.13868E+02  0.11192E+01  0.00000E+00  0.12749E+02  0.10000E+01
   10.6020   2.7500  16.0000   0.1533   2.2589  0.10264E+02  0.10264E+02  0.00000E+00  0.13814E+02  0.11023E+01  0.00000E+00  0.12711E+02  0.10000E+01
   10.6020   2.7600  16.0000   0.1541   2.2671  0.10248E+02  0.10248E+02  0.00000E+00  0.13760E+02  0.10856E+01  0.00000E+00  0.12674E+02  0.10000E+01
   10.6020   2.7700  16.0000   0.1548   2.2753  0.10231E+02  0.10231E+02  0.00000E+00  0.13707E+02  0.10693E+01  0.00000E+00  0.12638E+02  0.10000E+01
   10.6020   2.7800  16.0000   0.1556   2.2835  0.10215E+02  0.10215E+02  0.00000E+00  0.13654E+02  0.10532E+01  0.00000E+00  0.12601E+02  0.10000E+01
   10.6020   2.7900  16.0000   0.1563   2.2917  0.10199E+02  0.10199E+02  0.00000E+00  0.13602E+02  0.10373E+01  0.00000E+00  0.12565E+02  0.10000E+01
   10.6020   2.8000  16.0000   0.1571   2.2999  0.10183E+02  0.10183E+02  0.00000E+00  0.13550E+02  0.10217E+01  0.00000E+00  0.12528E+02  0.10000E+01
   10.6020   2.8100  16.0000   0.1579   2.3082  0.10167E+02  0.10167E+02  0.00000E+00  0.13499E+02  0.10064E+01  0.00000E+00  0.12493E+02  0.10000E+01
   10.6020   2.8200  16.0000   0.1586   2.3164  0.10151E+02  0.10151E+02  0.00000E+00  0.13448E+02  0.99134E+00  0.00000E+00  0.12457E+02  0.10000E+01
   10.6020   2.8300  16.0000   0.1594   2.3246  0.10135E+02  0.10135E+02  0.00000E+00  0.13398E+02  0.97652E+00  0.00000E+00  0.12421E+02  0.10000E+01
   10.6020   2.8400  16.0000   0.1602   2.3328  0.10119E+02  0.10119E+02  0.00000E+00  0.13348E+02  0.96193E+00  0.00000E+00  0.12386E+02  0.10000E+01
   10.6020   2.8500  16.0000   0.1609   2.3410  0.10103E+02  0.10103E+02  0.00000E+00  0.13299E+02  0.94759E+00  0.00000E+00  0.12351E+02  0.10000E+01
   10.6020   2.8600  16.0000   0.1617   2.3492  0.10087E+02  0.10087E+02  0.00000E+00  0.13250E+02  0.93348E+00  0.00000E+00  0.12317E+02  0.10000E+01
   10.6020   2.8700  16.0000   0.1625   2.3574  0.10072E+02  0.10072E+02  0.00000E+00  0.13201E+02  0.91960E+00  0.00000E+00  0.12282E+02  0.10000E+01
   10.6020   2.8800  16.0000   0.1633   2.3657  0.10056E+02  0.10056E+02  0.00000E+00  0.13152E+02  0.90594E+00  0.00000E+00  0.12246E+02  0.10000E+01
   10.6020   2.8900  16.0000   0.1640   2.3739  0.10041E+02  0.10041E+02  0.00000E+00  0.13104E+02  0.89251E+00  0.00000E+00  0.12212E+02  0.10000E+01
   10.6020   2.9000  16.0000   0.1648   2.3821  0.10025E+02  0.10025E+02  0.00000E+00  0.13057E+02  0.87929E+00  0.00000E+00  0.12178E+02  0.10000E+01
   10.6020   2.9100  16.0000   0.1656   2.3903  0.10010E+02  0.10010E+02  0.00000E+00  0.13010E+02  0.86629E+00  0.00000E+00  0.12144E+02  0.10000E+01
   10.6020   2.9200  16.0000   0.1664   2.3985  0.99946E+01  0.99946E+01  0.00000E+00  0.12963E+02  0.85349E+00  0.00000E+00  0.12110E+02  0.10000E+01
   10.6020   2.9300  16.0000   0.1672   2.4067  0.99793E+01  0.99793E+01  0.00000E+00  0.12917E+02  0.84090E+00  0.00000E+00  0.12076E+02  0.10000E+01
   10.6020   2.9400  16.0000   0.1680   2.4149  0.99641E+01  0.99641E+01  0.00000E+00  0.12871E+02  0.82852E+00  0.00000E+00  0.12043E+02  0.10000E+01
   10.6020   2.9500  16.0000   0.1687   2.4232  0.99490E+01  0.99490E+01  0.00000E+00  0.12826E+02  0.81633E+00  0.00000E+00  0.12009E+02  0.10000E+01
   10.6020   2.9600  16.0000   0.1695   2.4314  0.99339E+01  0.99339E+01  0.00000E+00  0.12780E+02  0.80434E+00  0.00000E+00  0.11976E+02  0.10000E+01
   10.6020   2.9700  16.0000   0.1703   2.4396  0.99189E+01  0.99189E+01  0.00000E+00  0.12735E+02  0.79254E+00  0.00000E+00  0.11943E+02  0.10000E+01
   10.6020   2.9800  16.0000   0.1711   2.4478  0.99039E+01  0.99039E+01  0.00000E+00  0.12691E+02  0.78093E+00  0.00000E+00  0.11910E+02  0.10000E+01
   10.6020   2.9900  16.0000   0.1719   2.4560  0.98890E+01  0.98890E+01  0.00000E+00  0.12647E+02  0.76951E+00  0.00000E+00  0.11877E+02  0.10000E+01
   10.6020   3.0000  16.0000   0.1727   2.4642  0.98742E+01  0.98742E+01  0.00000E+00  0.12603E+02  0.75827E+00  0.00000E+00  0.11845E+02  0.10000E+01
   10.6020   3.0100  16.0000   0.1735   2.4724  0.98593E+01  0.98593E+01  0.00000E+00  0.12560E+02  0.74721E+00  0.00000E+00  0.11812E+02  0.10000E+01
   10.6020   3.0200  16.0000   0.1743   2.4806  0.98446E+01  0.98446E+01  0.00000E+00  0.12517E+02  0.73632E+00  0.00000E+00  0.11780E+02  0.10000E+01
   10.6020   3.0300  16.0000   0.1752   2.4889  0.98299E+01  0.98299E+01  0.00000E+00  0.12474E+02  0.72561E+00  0.00000E+00  0.11748E+02  0.10000E+01
   10.6020   3.0400  16.0000   0.1760   2.4971  0.98152E+01  0.98152E+01  0.00000E+00  0.12431E+02  0.71506E+00  0.00000E+00  0.11716E+02  0.10000E+01
   10.6020   3.0500  16.0000   0.1768   2.5053  0.98006E+01  0.98006E+01  0.00000E+00  0.12389E+02  0.70469E+00  0.00000E+00  0.11684E+02  0.10000E+01
   10.6020   3.0600  16.0000   0.1776   2.5135  0.97860E+01  0.97860E+01  0.00000E+00  0.12347E+02  0.69447E+00  0.00000E+00  0.11653E+02  0.10000E+01
   10.6020   3.0700  16.0000   0.1784   2.5217  0.97715E+01  0.97715E+01  0.00000E+00  0.12305E+02  0.68442E+00  0.00000E+00  0.11621E+02  0.10000E+01
   10.6020   3.0800  16.0000   0.1792   2.5299  0.97570E+01  0.97570E+01  0.00000E+00  0.12264E+02  0.67453E+00  0.00000E+00  0.11590E+02  0.10000E+01
   10.6020   3.0900  16.0000   0.1801   2.5381  0.97426E+01  0.97426E+01  0.00000E+00  0.12223E+02  0.66480E+00  0.00000E+00  0.11559E+02  0.10000E+01
   10.6020   3.1000  16.0000   0.1809   2.5464  0.97281E+01  0.97281E+01  0.00000E+00  0.12183E+02  0.65521E+00  0.00000E+00  0.11528E+02  0.10000E+01
   10.6020   3.1100  16.0000   0.1817   2.5546  0.97138E+01  0.97138E+01  0.00000E+00  0.12143E+02  0.64578E+00  0.00000E+00  0.11497E+02  0.10000E+01
   10.6020   3.1200  16.0000   0.1825   2.5628  0.96995E+01  0.96995E+01  0.00000E+00  0.12102E+02  0.63650E+00  0.00000E+00  0.11466E+02  0.10000E+01
   10.6020   3.1300  16.0000   0.1834   2.5710  0.96852E+01  0.96852E+01  0.00000E+00  0.12063E+02  0.62736E+00  0.00000E+00  0.11435E+02  0.10000E+01
   10.6020   3.1400  16.0000   0.1842   2.5792  0.96709E+01  0.96709E+01  0.00000E+00  0.12023E+02  0.61836E+00  0.00000E+00  0.11405E+02  0.10000E+01
   10.6020   3.1500  16.0000   0.1850   2.5874  0.96567E+01  0.96567E+01  0.00000E+00  0.11984E+02  0.60951E+00  0.00000E+00  0.11374E+02  0.10000E+01
   10.6020   3.1600  16.0000   0.1859   2.5956  0.96425E+01  0.96425E+01  0.00000E+00  0.11945E+02  0.60079E+00  0.00000E+00  0.11344E+02  0.10000E+01
   10.6020   3.1700  16.0000   0.1867   2.6039  0.96283E+01  0.96283E+01  0.00000E+00  0.11906E+02  0.59221E+00  0.00000E+00  0.11314E+02  0.10000E+01
   10.6020   3.1800  16.0000   0.1875   2.6121  0.96142E+01  0.96142E+01  0.00000E+00  0.11867E+02  0.58376E+00  0.00000E+00  0.11284E+02  0.10000E+01
   10.6020   3.1900  16.0000   0.1884   2.6203  0.96001E+01  0.96001E+01  0.00000E+00  0.11829E+02  0.57545E+00  0.00000E+00  0.11254E+02  0.10000E+01
   10.6020   3.2000  16.0000   0.1892   2.6285  0.95861E+01  0.95861E+01  0.00000E+00  0.11791E+02  0.56726E+00  0.00000E+00  0.11224E+02  0.10000E+01
   10.6020   3.2100  16.0000   0.1901   2.6367  0.95720E+01  0.95720E+01  0.00000E+00  0.11753E+02  0.55920E+00  0.00000E+00  0.11194E+02  0.10000E+01
   10.6020   3.2200  16.0000   0.1909   2.6449  0.95580E+01  0.95580E+01  0.00000E+00  0.11716E+02  0.55127E+00  0.00000E+00  0.11165E+02  0.10000E+01
   10.6020   3.2300  16.0000   0.1918   2.6531  0.95440E+01  0.95440E+01  0.00000E+00  0.11679E+02  0.54345E+00  0.00000E+00  0.11135E+02  0.10000E+01
   10.6020   3.2400  16.0000   0.1926   2.6614  0.95301E+01  0.95301E+01  0.00000E+00  0.11642E+02  0.53576E+00  0.00000E+00  0.11106E+02  0.10000E+01
   10.6020   3.2500  16.0000   0.1935   2.6696  0.95161E+01  0.95161E+01  0.00000E+00  0.11605E+02  0.52819E+00  0.00000E+00  0.11077E+02  0.10000E+01
   10.6020   3.2600  16.0000   0.1944   2.6778  0.95022E+01  0.95022E+01  0.00000E+00  0.11569E+02  0.52073E+00  0.00000E+00  0.11048E+02  0.10000E+01
   10.6020   3.2700  16.0000   0.1952   2.6860  0.94883E+01  0.94883E+01  0.00000E+00  0.11532E+02  0.51339E+00  0.00000E+00  0.11019E+02  0.10000E+01
   10.6020   3.2800  16.0000   0.1961   2.6942  0.94745E+01  0.94745E+01  0.00000E+00  0.11496E+02  0.50616E+00  0.00000E+00  0.10990E+02  0.10000E+01
   10.6020   3.2900  16.0000   0.1969   2.7024  0.94606E+01  0.94606E+01  0.00000E+00  0.11460E+02  0.49905E+00  0.00000E+00  0.10961E+02  0.10000E+01
   10.6020   3.3000  16.0000   0.1978   2.7106  0.94468E+01  0.94468E+01  0.00000E+00  0.11424E+02  0.49204E+00  0.00000E+00  0.10932E+02  0.10000E+01
   10.6020   3.3100  16.0000   0.1987   2.7189  0.94330E+01  0.94330E+01  0.00000E+00  0.11388E+02  0.48514E+00  0.00000E+00  0.10903E+02  0.10000E+01
   10.6020   3.3200  16.0000   0.1996   2.7271  0.94192E+01  0.94192E+01  0.00000E+00  0.11353E+02  0.47834E+00  0.00000E+00  0.10875E+02  0.10000E+01
   10.6020   3.3300  16.0000   0.2004   2.7353  0.94054E+01  0.94054E+01  0.00000E+00  0.11318E+02  0.47165E+00  0.00000E+00  0.10846E+02  0.10000E+01
   10.6020   3.3400  16.0000   0.2013   2.7435  0.93916E+01  0.93916E+01  0.00000E+00  0.11283E+02  0.46506E+00  0.00000E+00  0.10818E+02  0.10000E+01
   10.6020   3.3500  16.0000   0.2022   2.7517  0.93779E+01  0.93779E+01  0.00000E+00  0.11248E+02  0.45857E+00  0.00000E+00  0.10790E+02  0.10000E+01
   10.6020   3.3600  16.0000   0.2031   2.7599  0.93641E+01  0.93641E+01  0.00000E+00  0.11214E+02  0.45218E+00  0.00000E+00  0.10761E+02  0.10000E+01
   10.6020   3.3700  16.0000   0.2040   2.7681  0.93504E+01  0.93504E+01  0.00000E+00  0.11179E+02  0.44588E+00  0.00000E+00  0.10733E+02  0.10000E+01
   10.6020   3.3800  16.0000   0.2049   2.7764  0.93367E+01  0.93367E+01  0.00000E+00  0.11145E+02  0.43968E+00  0.00000E+00  0.10705E+02  0.10000E+01
   10.6020   3.3900  16.0000   0.2058   2.7846  0.93229E+01  0.93229E+01  0.00000E+00  0.11111E+02  0.43358E+00  0.00000E+00  0.10677E+02  0.10000E+01
   10.6020   3.4000  16.0000   0.2066   2.7928  0.93092E+01  0.93092E+01  0.00000E+00  0.11077E+02  0.42757E+00  0.00000E+00  0.10650E+02  0.10000E+01
   10.6020   3.4100  16.0000   0.2075   2.8010  0.92955E+01  0.92955E+01  0.00000E+00  0.11043E+02  0.42164E+00  0.00000E+00  0.10622E+02  0.10000E+01
   10.6020   3.4200  16.0000   0.2084   2.8092  0.92819E+01  0.92819E+01  0.00000E+00  0.11010E+02  0.41581E+00  0.00000E+00  0.10595E+02  0.10000E+01
   10.6020   3.4300  16.0000   0.2093   2.8174  0.92682E+01  0.92682E+01  0.00000E+00  0.10977E+02  0.41006E+00  0.00000E+00  0.10567E+02  0.10000E+01
   10.6020   3.4400  16.0000   0.2102   2.8256  0.92545E+01  0.92545E+01  0.00000E+00  0.10944E+02  0.40440E+00  0.00000E+00  0.10540E+02  0.10000E+01
   10.6020   3.4500  16.0000   0.2111   2.8339  0.92408E+01  0.92408E+01  0.00000E+00  0.10911E+02  0.39883E+00  0.00000E+00  0.10512E+02  0.10000E+01
