 ***Ebeam    Eprime  Theta     x        Q2      Sig_Born     Sig_Born_In  Sig_Born_QE  Sig_Rad      Sig_Rad_EL   Sig_Rad_QE   Sig_Rad_DIS  C_cor
   10.6020   2.5000  16.0000   0.1351   2.0535  0.19582E+02  0.19582E+02  0.14862E-04  0.26664E+02  0.70404E-01  0.17746E+01  0.24819E+02  0.10000E+01
   10.6020   2.5100  16.0000   0.1358   2.0617  0.19538E+02  0.19538E+02  0.14982E-04  0.26543E+02  0.68811E-01  0.17457E+01  0.24729E+02  0.10000E+01
   10.6020   2.5200  16.0000   0.1365   2.0699  0.19494E+02  0.19494E+02  0.15165E-04  0.26427E+02  0.67254E-01  0.17183E+01  0.24641E+02  0.10000E+01
   10.6020   2.5300  16.0000   0.1372   2.0782  0.19451E+02  0.19451E+02  0.15348E-04  0.26307E+02  0.65738E-01  0.16893E+01  0.24552E+02  0.10000E+01
   10.6020   2.5400  16.0000   0.1379   2.0864  0.19408E+02  0.19408E+02  0.15342E-04  0.26191E+02  0.64253E-01  0.16617E+01  0.24466E+02  0.10000E+01
   10.6020   2.5500  16.0000   0.1386   2.0946  0.19365E+02  0.19365E+02  0.15525E-04  0.26076E+02  0.62806E-01  0.16341E+01  0.24379E+02  0.10000E+01
   10.6020   2.5600  16.0000   0.1393   2.1028  0.19322E+02  0.19322E+02  0.15708E-04  0.25958E+02  0.61392E-01  0.16045E+01  0.24292E+02  0.10000E+01
   10.6020   2.5700  16.0000   0.1401   2.1110  0.19280E+02  0.19280E+02  0.15891E-04  0.25846E+02  0.60017E-01  0.15828E+01  0.24204E+02  0.10000E+01
   10.6020   2.5800  16.0000   0.1408   2.1192  0.19238E+02  0.19238E+02  0.15885E-04  0.25735E+02  0.58673E-01  0.15588E+01  0.24118E+02  0.10000E+01
   10.6020   2.5900  16.0000   0.1415   2.1274  0.19196E+02  0.19196E+02  0.16068E-04  0.25620E+02  0.57356E-01  0.15303E+01  0.24033E+02  0.10000E+01
   10.6020   2.6000  16.0000   0.1422   2.1357  0.19154E+02  0.19154E+02  0.16251E-04  0.25513E+02  0.56069E-01  0.15074E+01  0.23949E+02  0.10000E+01
   10.6020   2.6100  16.0000   0.1429   2.1439  0.19112E+02  0.19112E+02  0.16245E-04  0.25400E+02  0.54814E-01  0.14809E+01  0.23864E+02  0.10000E+01
   10.6020   2.6200  16.0000   0.1437   2.1521  0.19071E+02  0.19071E+02  0.16428E-04  0.25290E+02  0.53593E-01  0.14570E+01  0.23779E+02  0.10000E+01
   10.6020   2.6300  16.0000   0.1444   2.1603  0.19030E+02  0.19030E+02  0.16611E-04  0.25183E+02  0.52397E-01  0.14348E+01  0.23696E+02  0.10000E+01
   10.6020   2.6400  16.0000   0.1451   2.1685  0.18989E+02  0.18989E+02  0.16794E-04  0.25078E+02  0.51234E-01  0.14135E+01  0.23613E+02  0.10000E+01
   10.6020   2.6500  16.0000   0.1459   2.1767  0.18948E+02  0.18948E+02  0.16939E-04  0.24971E+02  0.50089E-01  0.13893E+01  0.23532E+02  0.10000E+01
   10.6020   2.6600  16.0000   0.1466   2.1849  0.18908E+02  0.18908E+02  0.16935E-04  0.24868E+02  0.48973E-01  0.13691E+01  0.23450E+02  0.10000E+01
   10.6020   2.6700  16.0000   0.1473   2.1932  0.18867E+02  0.18867E+02  0.17080E-04  0.24762E+02  0.47889E-01  0.13444E+01  0.23370E+02  0.10000E+01
   10.6020   2.6800  16.0000   0.1481   2.2014  0.18827E+02  0.18827E+02  0.17226E-04  0.24660E+02  0.46834E-01  0.13239E+01  0.23290E+02  0.10000E+01
   10.6020   2.6900  16.0000   0.1488   2.2096  0.18787E+02  0.18787E+02  0.17371E-04  0.24559E+02  0.45805E-01  0.13025E+01  0.23210E+02  0.10000E+01
