 ***Ebeam    Eprime  Theta     x        Q2      Sig_Born     Sig_Born_In  Sig_Born_QE  Sig_Rad      Sig_Rad_EL   Sig_Rad_QE   Sig_Rad_DIS  C_cor
   10.6020   2.5000  16.0000   0.1351   2.0535  0.11968E+03  0.11967E+03  0.10803E-01  0.15789E+03  0.78124E+00  0.76865E+01  0.14942E+03  0.10000E+01
   10.6020   2.5100  16.0000   0.1358   2.0617  0.11940E+03  0.11939E+03  0.10778E-01  0.15722E+03  0.75878E+00  0.75703E+01  0.14889E+03  0.10000E+01
   10.6020   2.5200  16.0000   0.1365   2.0699  0.11913E+03  0.11912E+03  0.10753E-01  0.15652E+03  0.73693E+00  0.74558E+01  0.14833E+03  0.10000E+01
   10.6020   2.5300  16.0000   0.1372   2.0782  0.11886E+03  0.11885E+03  0.10727E-01  0.15586E+03  0.71569E+00  0.73432E+01  0.14780E+03  0.10000E+01
   10.6020   2.5400  16.0000   0.1379   2.0864  0.11858E+03  0.11857E+03  0.10701E-01  0.15528E+03  0.69502E+00  0.72322E+01  0.14736E+03  0.10000E+01
   10.6020   2.5500  16.0000   0.1386   2.0946  0.11831E+03  0.11830E+03  0.10675E-01  0.15461E+03  0.67494E+00  0.71863E+01  0.14675E+03  0.10000E+01
   10.6020   2.5600  16.0000   0.1393   2.1028  0.11804E+03  0.11803E+03  0.10648E-01  0.15390E+03  0.65540E+00  0.70157E+01  0.14623E+03  0.10000E+01
   10.6020   2.5700  16.0000   0.1401   2.1110  0.11778E+03  0.11777E+03  0.10621E-01  0.15326E+03  0.63639E+00  0.69100E+01  0.14571E+03  0.10000E+01
   10.6020   2.5800  16.0000   0.1408   2.1192  0.11751E+03  0.11750E+03  0.10594E-01  0.15262E+03  0.61790E+00  0.68059E+01  0.14519E+03  0.10000E+01
   10.6020   2.5900  16.0000   0.1415   2.1274  0.11724E+03  0.11723E+03  0.10566E-01  0.15198E+03  0.59993E+00  0.67026E+01  0.14468E+03  0.10000E+01
   10.6020   2.6000  16.0000   0.1422   2.1357  0.11698E+03  0.11697E+03  0.10538E-01  0.15135E+03  0.58245E+00  0.66019E+01  0.14417E+03  0.10000E+01
   10.6020   2.6100  16.0000   0.1429   2.1439  0.11672E+03  0.11671E+03  0.10510E-01  0.15092E+03  0.56546E+00  0.65027E+01  0.14385E+03  0.10000E+01
   10.6020   2.6200  16.0000   0.1437   2.1521  0.11646E+03  0.11645E+03  0.10482E-01  0.15011E+03  0.54893E+00  0.64051E+01  0.14316E+03  0.10000E+01
   10.6020   2.6300  16.0000   0.1444   2.1603  0.11620E+03  0.11619E+03  0.10453E-01  0.14949E+03  0.53286E+00  0.63099E+01  0.14265E+03  0.10000E+01
   10.6020   2.6400  16.0000   0.1451   2.1685  0.11594E+03  0.11593E+03  0.10424E-01  0.14889E+03  0.51723E+00  0.62144E+01  0.14216E+03  0.10000E+01
   10.6020   2.6500  16.0000   0.1459   2.1767  0.11568E+03  0.11567E+03  0.10395E-01  0.14828E+03  0.50204E+00  0.61209E+01  0.14165E+03  0.10000E+01
   10.6020   2.6600  16.0000   0.1466   2.1849  0.11542E+03  0.11541E+03  0.10365E-01  0.14768E+03  0.48726E+00  0.60293E+01  0.14117E+03  0.10000E+01
   10.6020   2.6700  16.0000   0.1473   2.1932  0.11517E+03  0.11516E+03  0.10335E-01  0.14709E+03  0.47290E+00  0.59392E+01  0.14067E+03  0.10000E+01
   10.6020   2.6800  16.0000   0.1481   2.2014  0.11491E+03  0.11490E+03  0.10305E-01  0.14649E+03  0.45893E+00  0.58504E+01  0.14018E+03  0.10000E+01
   10.6020   2.6900  16.0000   0.1488   2.2096  0.11466E+03  0.11465E+03  0.10274E-01  0.14590E+03  0.44536E+00  0.57630E+01  0.13970E+03  0.10000E+01
   10.6020   2.7000  16.0000   0.1496   2.2178  0.11440E+03  0.11439E+03  0.10243E-01  0.14532E+03  0.43216E+00  0.56770E+01  0.13921E+03  0.10000E+01
   10.6020   2.7100  16.0000   0.1503   2.2260  0.11415E+03  0.11414E+03  0.10212E-01  0.14475E+03  0.41932E+00  0.55923E+01  0.13874E+03  0.10000E+01
   10.6020   2.7200  16.0000   0.1511   2.2342  0.11390E+03  0.11389E+03  0.10181E-01  0.14419E+03  0.40685E+00  0.55089E+01  0.13828E+03  0.10000E+01
   10.6020   2.7300  16.0000   0.1518   2.2424  0.11365E+03  0.11364E+03  0.10149E-01  0.14363E+03  0.39472E+00  0.54268E+01  0.13781E+03  0.10000E+01
   10.6020   2.7400  16.0000   0.1526   2.2507  0.11341E+03  0.11340E+03  0.10117E-01  0.14306E+03  0.38293E+00  0.53460E+01  0.13733E+03  0.10000E+01
   10.6020   2.7500  16.0000   0.1533   2.2589  0.11316E+03  0.11315E+03  0.10084E-01  0.14249E+03  0.37147E+00  0.52665E+01  0.13685E+03  0.10000E+01
   10.6020   2.7600  16.0000   0.1541   2.2671  0.11291E+03  0.11290E+03  0.10052E-01  0.14192E+03  0.36033E+00  0.51882E+01  0.13637E+03  0.10000E+01
   10.6020   2.7700  16.0000   0.1548   2.2753  0.11267E+03  0.11266E+03  0.10019E-01  0.14138E+03  0.34950E+00  0.51111E+01  0.13592E+03  0.10000E+01
   10.6020   2.7800  16.0000   0.1556   2.2835  0.11242E+03  0.11241E+03  0.99852E-02  0.14083E+03  0.33898E+00  0.50353E+01  0.13546E+03  0.10000E+01
   10.6020   2.7900  16.0000   0.1563   2.2917  0.11218E+03  0.11217E+03  0.99516E-02  0.14029E+03  0.32875E+00  0.49605E+01  0.13500E+03  0.10000E+01
   10.6020   2.8000  16.0000   0.1571   2.2999  0.11194E+03  0.11193E+03  0.99177E-02  0.13975E+03  0.31881E+00  0.48870E+01  0.13455E+03  0.10000E+01
   10.6020   2.8100  16.0000   0.1579   2.3082  0.11170E+03  0.11169E+03  0.98835E-02  0.13921E+03  0.30915E+00  0.48146E+01  0.13409E+03  0.10000E+01
   10.6020   2.8200  16.0000   0.1586   2.3164  0.11146E+03  0.11145E+03  0.98489E-02  0.13869E+03  0.29976E+00  0.47436E+01  0.13365E+03  0.10000E+01
   10.6020   2.8300  16.0000   0.1594   2.3246  0.11122E+03  0.11121E+03  0.98141E-02  0.13816E+03  0.29064E+00  0.46734E+01  0.13320E+03  0.10000E+01
   10.6020   2.8400  16.0000   0.1602   2.3328  0.11098E+03  0.11097E+03  0.97789E-02  0.13764E+03  0.28177E+00  0.46043E+01  0.13275E+03  0.10000E+01
   10.6020   2.8500  16.0000   0.1609   2.3410  0.11074E+03  0.11073E+03  0.97435E-02  0.13716E+03  0.27316E+00  0.45363E+01  0.13235E+03  0.10000E+01
   10.6020   2.8600  16.0000   0.1617   2.3492  0.11050E+03  0.11049E+03  0.97077E-02  0.13661E+03  0.26479E+00  0.44692E+01  0.13188E+03  0.10000E+01
   10.6020   2.8700  16.0000   0.1625   2.3574  0.11027E+03  0.11026E+03  0.96717E-02  0.13610E+03  0.25666E+00  0.44033E+01  0.13144E+03  0.10000E+01
   10.6020   2.8800  16.0000   0.1633   2.3657  0.11003E+03  0.11002E+03  0.96354E-02  0.13559E+03  0.24876E+00  0.43383E+01  0.13100E+03  0.10000E+01
   10.6020   2.8900  16.0000   0.1640   2.3739  0.10980E+03  0.10979E+03  0.95987E-02  0.13508E+03  0.24109E+00  0.42743E+01  0.13057E+03  0.10000E+01
   10.6020   2.9000  16.0000   0.1648   2.3821  0.10956E+03  0.10955E+03  0.95618E-02  0.13458E+03  0.23363E+00  0.42114E+01  0.13013E+03  0.10000E+01
   10.6020   2.9100  16.0000   0.1656   2.3903  0.10933E+03  0.10932E+03  0.95245E-02  0.13408E+03  0.22641E+00  0.41494E+01  0.12971E+03  0.10000E+01
   10.6020   2.9200  16.0000   0.1664   2.3985  0.10910E+03  0.10909E+03  0.94870E-02  0.13359E+03  0.21935E+00  0.40883E+01  0.12928E+03  0.10000E+01
   10.6020   2.9300  16.0000   0.1672   2.4067  0.10887E+03  0.10886E+03  0.94490E-02  0.13309E+03  0.21252E+00  0.40281E+01  0.12885E+03  0.10000E+01
   10.6020   2.9400  16.0000   0.1680   2.4149  0.10864E+03  0.10863E+03  0.94109E-02  0.13261E+03  0.20588E+00  0.39690E+01  0.12843E+03  0.10000E+01
   10.6020   2.9500  16.0000   0.1687   2.4232  0.10841E+03  0.10840E+03  0.93724E-02  0.13212E+03  0.19944E+00  0.39107E+01  0.12801E+03  0.10000E+01
   10.6020   2.9600  16.0000   0.1695   2.4314  0.10818E+03  0.10817E+03  0.93335E-02  0.13164E+03  0.19318E+00  0.38533E+01  0.12759E+03  0.10000E+01
   10.6020   2.9700  16.0000   0.1703   2.4396  0.10795E+03  0.10794E+03  0.92945E-02  0.13104E+03  0.18710E+00  0.37968E+01  0.12706E+03  0.10000E+01
   10.6020   2.9800  16.0000   0.1711   2.4478  0.10773E+03  0.10772E+03  0.92551E-02  0.13070E+03  0.18120E+00  0.37411E+01  0.12678E+03  0.10000E+01
   10.6020   2.9900  16.0000   0.1719   2.4560  0.10750E+03  0.10749E+03  0.92155E-02  0.13021E+03  0.17547E+00  0.36863E+01  0.12634E+03  0.10000E+01
   10.6020   3.0000  16.0000   0.1727   2.4642  0.10727E+03  0.10726E+03  0.91754E-02  0.12974E+03  0.16991E+00  0.36322E+01  0.12594E+03  0.10000E+01
   10.6020   3.0100  16.0000   0.1735   2.4724  0.10705E+03  0.10704E+03  0.91351E-02  0.12926E+03  0.16450E+00  0.35791E+01  0.12552E+03  0.10000E+01
   10.6020   3.0200  16.0000   0.1743   2.4806  0.10682E+03  0.10682E+03  0.90945E-02  0.12880E+03  0.15926E+00  0.35268E+01  0.12511E+03  0.10000E+01
   10.6020   3.0300  16.0000   0.1752   2.4889  0.10660E+03  0.10659E+03  0.90535E-02  0.12835E+03  0.15417E+00  0.34753E+01  0.12472E+03  0.10000E+01
   10.6020   3.0400  16.0000   0.1760   2.4971  0.10638E+03  0.10637E+03  0.90123E-02  0.12788E+03  0.14923E+00  0.34245E+01  0.12431E+03  0.10000E+01
   10.6020   3.0500  16.0000   0.1768   2.5053  0.10616E+03  0.10615E+03  0.89708E-02  0.12742E+03  0.14443E+00  0.33746E+01  0.12390E+03  0.10000E+01
   10.6020   3.0600  16.0000   0.1776   2.5135  0.10593E+03  0.10592E+03  0.89289E-02  0.12696E+03  0.13978E+00  0.33254E+01  0.12350E+03  0.10000E+01
   10.6020   3.0700  16.0000   0.1784   2.5217  0.10571E+03  0.10570E+03  0.88868E-02  0.12651E+03  0.13526E+00  0.32769E+01  0.12310E+03  0.10000E+01
   10.6020   3.0800  16.0000   0.1792   2.5299  0.10549E+03  0.10548E+03  0.88443E-02  0.12606E+03  0.13088E+00  0.32292E+01  0.12270E+03  0.10000E+01
   10.6020   3.0900  16.0000   0.1801   2.5381  0.10527E+03  0.10526E+03  0.88016E-02  0.12561E+03  0.12662E+00  0.31822E+01  0.12230E+03  0.10000E+01
   10.6020   3.1000  16.0000   0.1809   2.5464  0.10505E+03  0.10504E+03  0.87585E-02  0.12518E+03  0.12250E+00  0.31359E+01  0.12192E+03  0.10000E+01
