A_h,E_h,Ep,theta,xsect_h,xsect_e_h,xsect_d,xsect_e_d
1,10.602,2.205,28.99,0.715488222,0.016897645,0.542225536,0.012886729
1,10.602,2.225,28.99,0.706451053,0.016644582,0.560858547,0.013223209
1,10.602,2.245,28.99,0.702715481,0.016630743,0.538285868,0.012825068
1,10.602,2.265,28.99,0.682675958,0.016335947,0.526678063,0.01267114
1,10.602,2.285,28.99,0.676113302,0.016119669,0.509094481,0.012266547
1,10.602,2.305,28.99,0.650015663,0.015675082,0.514718956,0.012458005
1,10.602,2.325,28.99,0.652109069,0.015851026,0.508363849,0.012435108
1,10.602,2.345,28.99,0.653859517,0.01598255,0.497030904,0.012284923
1,10.602,2.365,28.99,0.620167654,0.015334041,0.489746003,0.012167095
1,10.602,1.905,38.975,0.11780782,0.002390483,0.087732802,0.001774387
1,10.602,1.925,38.975,0.110044389,0.002230432,0.08341067,0.001689025
1,10.602,1.945,38.975,0.105911561,0.002154171,0.078696647,0.001595071
1,10.602,1.965,38.975,0.099939682,0.002036708,0.074594861,0.00152027
1,10.602,1.985,38.975,0.095389016,0.001937081,0.071445317,0.001450475
1,10.602,2.005,38.975,0.091496841,0.001868598,0.067154821,0.001366321
1,10.602,2.025,38.975,0.085901852,0.001761401,0.064878405,0.001328872
1,10.602,2.045,38.975,0.081209518,0.001673202,0.060351618,0.001242276
1,10.602,2.065,38.975,0.076973664,0.001593422,0.057131289,0.001181643
1,10.602,2.085,38.975,0.072107182,0.00150196,0.053532027,0.001105183
1,10.602,2.105,38.975,0.067916516,0.001411824,0.051046066,0.001060375
1,10.602,2.125,38.975,0.065719622,0.001376241,0.047230786,0.00098762
1,10.602,2.145,38.975,0.061158896,0.001279683,0.044874813,0.000945117
1,10.602,2.165,38.975,0.059004338,0.001244268,0.042354754,0.000892078
1,10.602,2.185,38.975,0.054609438,0.001161656,0.039569165,0.000840078
1,10.602,2.205,38.975,0.051801589,0.001102418,0.03812143,0.00080991
1,10.602,2.225,38.975,0.048390439,0.001048107,0.035485391,0.000761171
1,10.602,2.245,38.975,0.045967448,0.000995401,0.033141434,0.000717594
1,10.602,2.265,38.975,0.042753247,0.000936798,0.030951463,0.000679
1,10.602,2.285,38.975,0.040233914,0.00088205,0.028320551,0.000628214
1,10.602,2.305,38.975,0.037381454,0.000831837,0.027412371,0.000608397
1,10.602,2.325,38.975,0.034267799,0.000772261,0.025390988,0.000572535
1,10.602,2.345,38.975,0.032663565,0.000740257,0.023263495,0.000533149
1,10.602,2.365,38.975,0.030483719,0.000700964,0.021999094,0.000505704
1,10.602,2.025,32.975,0.377720957,0.008095041,0.294330988,0.006263874
1,10.602,2.045,32.975,0.372642511,0.008003321,0.289490857,0.006170197
1,10.602,2.065,32.975,0.356141176,0.007609073,0.275361215,0.005880233
1,10.602,2.085,32.975,0.346411154,0.007420902,0.27082147,0.005759485
1,10.602,2.105,32.975,0.342442084,0.007364941,0.260781205,0.005565699
1,10.602,2.125,32.975,0.323945007,0.007005382,0.256290269,0.005492181
1,10.602,2.145,32.975,0.317940192,0.006860197,0.248521457,0.005324878
1,10.602,2.165,32.975,0.311660152,0.006808395,0.236135788,0.005081977
1,10.602,2.185,32.975,0.300622017,0.00656022,0.229557557,0.004974556
1,10.602,2.205,32.975,0.285706875,0.006280544,0.222355856,0.004847539
1,10.602,2.225,32.975,0.286999534,0.00633712,0.213620867,0.004648176
1,10.602,2.245,32.975,0.282253133,0.006218101,0.210019926,0.004601279
1,10.602,2.265,32.975,0.268501178,0.005958061,0.203705501,0.004499357
1,10.602,2.285,32.975,0.26417217,0.005898824,0.195197547,0.00434575
1,10.602,2.305,32.975,0.257528723,0.005760715,0.187289271,0.004211452
1,10.602,2.325,32.975,0.247921438,0.005591981,0.181102173,0.004071637
1,10.602,2.345,32.975,0.241094088,0.005492002,0.176706919,0.004009599
1,10.602,2.365,32.975,0.229865641,0.005288209,0.172510911,0.003914851
1,10.602,2.385,32.975,0.230396381,0.00528925,0.166306002,0.003814798
1,10.602,2.405,32.975,0.220087079,0.005116211,0.159943136,0.003707894
1,10.602,2.425,32.975,0.214250752,0.005022796,0.155978065,0.0036444
