0.10   1.0    3.1889E-01  2.6593E-01  2.9740E-01
0.11   1.0    3.2189E-01  2.6590E-01  2.9870E-01
0.12   1.0    3.2425E-01  2.6549E-01  2.9948E-01
0.13   1.0    3.2604E-01  2.6476E-01  2.9979E-01
0.14   1.0    3.2730E-01  2.6374E-01  2.9968E-01
0.15   1.0    3.2806E-01  2.6240E-01  2.9915E-01
0.16   1.0    3.2831E-01  2.6076E-01  2.9820E-01
0.17   1.0    3.2807E-01  2.5879E-01  2.9684E-01
0.18   1.0    3.2737E-01  2.5650E-01  2.9510E-01
0.19   1.0    3.2623E-01  2.5393E-01  2.9299E-01
0.20   1.0    3.2469E-01  2.5107E-01  2.9053E-01
0.21   1.0    3.2276E-01  2.4796E-01  2.8776E-01
0.22   1.0    3.2051E-01  2.4462E-01  2.8472E-01
0.23   1.0    3.1797E-01  2.4109E-01  2.8144E-01
0.24   1.0    3.1517E-01  2.3739E-01  2.7794E-01
0.25   1.0    3.1217E-01  2.3357E-01  2.7426E-01
0.26   1.0    3.0897E-01  2.2963E-01  2.7042E-01
0.27   1.0    3.0559E-01  2.2558E-01  2.6643E-01
0.28   1.0    3.0206E-01  2.2144E-01  2.6231E-01
0.29   1.0    2.9836E-01  2.1721E-01  2.5806E-01
0.30   1.0    2.9452E-01  2.1289E-01  2.5368E-01
0.31   1.0    2.9054E-01  2.0850E-01  2.4920E-01
0.32   1.0    2.8642E-01  2.0404E-01  2.4462E-01
0.33   1.0    2.8219E-01  1.9953E-01  2.3995E-01
0.34   1.0    2.7785E-01  1.9498E-01  2.3520E-01
0.35   1.0    2.7340E-01  1.9041E-01  2.3038E-01
0.36   1.0    2.6887E-01  1.8582E-01  2.2551E-01
0.37   1.0    2.6425E-01  1.8122E-01  2.2058E-01
0.38   1.0    2.5954E-01  1.7663E-01  2.1562E-01
0.39   1.0    2.5476E-01  1.7205E-01  2.1061E-01
0.40   1.0    2.4991E-01  1.6750E-01  2.0557E-01
0.41   1.0    2.4498E-01  1.6297E-01  2.0050E-01
0.42   1.0    2.3999E-01  1.5849E-01  1.9541E-01
0.43   1.0    2.3492E-01  1.5404E-01  1.9029E-01
0.44   1.0    2.2978E-01  1.4964E-01  1.8515E-01
0.45   1.0    2.2456E-01  1.4530E-01  1.7999E-01
0.46   1.0    2.1927E-01  1.4100E-01  1.7481E-01
0.47   1.0    2.1390E-01  1.3677E-01  1.6960E-01
0.48   1.0    2.0844E-01  1.3258E-01  1.6437E-01
0.49   1.0    2.0289E-01  1.2844E-01  1.5911E-01
0.50   1.0    1.9724E-01  1.2435E-01  1.5381E-01
0.51   1.0    1.9149E-01  1.2029E-01  1.4848E-01
0.52   1.0    1.8563E-01  1.1627E-01  1.4311E-01
0.53   1.0    1.7965E-01  1.1226E-01  1.3770E-01
